affordable,11,Positive
inconsistent,11,Negative
it-,11,Positive
highest,11,Positive
steep,11,Positive
undecided,11,Positive
plum,11,Positive
saturday,11,Positive
chilly,11,Positive
grayish,11,Positive
stet,11,Negative
decided,11,Positive
excessive,11,Positive
jersey,11,Positive
ill,11,Negative
buttery,11,Positive
cowboy,11,Positive
aren,11,Positive
handy,11,Positive
empire,11,Positive
drab,11,Negative
undone,11,Positive
xsp,11,Positive
understand,11,Positive
soo,11,Positive
tee,11,Positive
hope,11,Positive
cheerful,11,Positive
confused,11,Positive
appear,11,Negative
dye,11,Positive
recommended,11,Positive
bizarre,11,Negative
lace-up,11,Positive
exaggerated,10,Positive
yes,10,Positive
hate,10,Positive
cal,10,Positive
contrary,10,Positive
flaws,10,Positive
tucked,10,Positive
garment,10,Positive
bib,10,Positive
delightful,10,Positive
intentional,10,Positive
needed,10,Positive
arrive,10,Positive
underarm,10,Positive
38-32-40,10,Positive
etc,10,Positive
covered,10,Positive
oatmeal,10,Positive
lift,10,Positive
26-27,10,Positive
invisible,10,Positive
hides,10,Positive
flowing,10,Positive
problematic,10,Positive
wide-leg,10,Positive
expect,10,Positive
initial,10,Positive
top-,10,Positive
proportional,10,Positive
closet,10,Positive
creamy,10,Positive
interior,10,Positive
capri,10,Positive
texas,10,Positive
suggest,10,Positive
hugs,10,Positive
surprising,10,Positive
harder,9,Positive
cup,9,Negative
youthful,9,Positive
checked,9,Positive
victorian,9,Positive
weather,9,Positive
wrist,9,Negative
lady,9,Positive
mauve,9,Positive
maternity-ish,9,Positive
xs/s,9,Positive
undershirt,9,Positive
satisfied,9,Positive
suspect,9,Positive
viscose,9,Positive
shimmery,9,Negative
needless,9,Negative
delicious,9,Positive
european,9,Positive
seams,9,Negative
neon,9,Positive
printed,9,Positive
build,9,Negative
rid,9,Positive
bow,9,Positive
engagement,9,Positive
mini,9,Positive
pair,9,Positive
instant,9,Positive
sizing,9,Positive
size-,9,Positive
adequate,9,Positive
pencil,9,Positive
uniqueness,9,Positive
lot,9,Positive
notice,9,Positive
shower,9,Positive
anniversary,9,Positive
uniform,9,Positive
final,9,Positive
near,9,Positive
overpriced,9,Positive
33-25-37,9,Positive
identical,9,Positive
messy,9,Negative
lays,9,Positive
pouch,9,Positive
sooooo,9,Positive
dreaded,9,Positive
mad,9,Positive
shrunk,9,Positive
fluid,9,Positive
post-baby,9,Positive
western,9,Positive
bodice,9,Positive
indian,9,Positive
unzipped,9,Positive
elbow,9,Positive
avoid,9,Positive
backside,9,Positive
long-waisted,9,Positive
pull,9,Positive
daily,9,Positive
loud,9,Positive
small-chested,9,Positive
superior,9,Positive
hi-lo,9,Positive
layering,9,Positive
heeled,9,Positive
undergarment,9,Positive
moderate,9,Positive
keep,9,Positive
tumble,8,Positive
necklace,8,Positive
impractical,8,Negative
degree,8,Positive
draped,8,Positive
inexpensive,8,Positive
semi,8,Positive
well-,8,Positive
make,8,Positive
on-,8,Positive
dd,8,Positive
flat-chested,8,Positive
random,8,Positive
dirty,8,Positive
straps,8,Positive
flashy,8,Positive
dumpy,8,Positive
fleece,8,Negative
li,8,Positive
partial,8,Positive
find,8,Positive
sunny,8,Positive
ive,8,Positive
misleading,8,Negative
pronounced,8,Positive
fl,8,Positive
primary,8,Positive
sheerness,8,Positive
curvy/muscular,8,Positive
animal,8,Positive
buy,8,Positive
sparkle,8,Positive
accent,8,Positive
breast,8,Negative
rainy,8,Positive
round,8,Positive
supple,8,Positive
hang,8,Negative
unraveled,8,Positive
forest,8,Positive
shot,8,Positive
torn,8,Positive
skimpy,8,Positive
wary,8,Positive
comical,8,Negative
appealing,8,Positive
snugger,8,Positive
fall/winter,8,Positive
keyhole,8,Positive
untied,8,Positive
0-2,8,Positive
sun,8,Positive
turtle,8,Positive
pull-on,8,Positive
fit-,8,Positive
grabbed,8,Positive
def,8,Positive
ill-fitting,8,Negative
wrap,8,Positive
on-trend,8,Positive
cautious,8,Positive
informal,8,Positive
girl,8,Positive
pj,8,Positive
bridal,8,Positive
loungewear,8,Positive
san,8,Positive
paired,8,Positive
asymmetric,8,Positive
tired,8,Positive
mindful,8,Positive
floaty,8,Positive
rigid,8,Negative
bother,8,Positive
27-28,8,Positive
tulle,8,Positive
blonde,8,Positive
upset,8,Positive
mid-weight,8,Positive
exposed,7,Positive
pineapple,7,Positive
definitely,7,Positive
b/c,7,Positive
social,7,Positive
ish,7,Positive
lbs-,7,Positive
mid-rise,7,Positive
used,7,Negative
constructed,7,Positive
in-person,7,Negative
worked,7,Positive
lilac,7,Positive
asap,7,Positive
wet,7,Positive
button-up,7,Positive
unhappy,7,Negative
turquoise,7,Positive
sanctuary,7,Positive
semi-sheer,7,Positive
full-figured,7,Positive
re-ordered,7,Positive
gaping,7,Positive
shouldn,7,Positive
seemed,7,Negative
impressive,7,Positive
ethereal,7,Positive
friendly,7,Positive
tshirt,7,Positive
twisted,7,Positive
ha,7,Positive
flattering-,7,Positive
seam,7,Negative
truly,7,Positive
detail,7,Positive
spring,7,Positive
dressed,7,Positive
revealing,7,Positive
welcome,7,Positive
symmetrical,7,Positive
audrey,7,Positive
prominent,7,Negative
accentuated,7,Positive
slinky,7,Negative
